COURSE_SUBJECT,COURSE_NUMBER,COURSE_TITLE,RESOURCE_NAME,ISBN
NURSING,704,Ldrshp in Adv Practc Nursing I,The Immortal Life of Henrietta Lacks,'0451486315'
ENGL,334,18th-Century Literature,1984,'0451524934'
AFROAMER,227,Masterpieces of Afro Amer Lit,Why We Can't Wait,'0451527534'
LSC,880,Topics in Mass Communication,Discovering The News: A Social History Of American Newspapers,'0465016669'
ART HIST,500,Prosem:Spec Topics-Art Hist,Popular Culture and High Culture: An Analysis and Evaluation of Taste,'0465026095'
ILS,205,"W Cult:Pol,Econ&Soc Thght I",THE REPUBLIC,'0465094082'
PSYCH,401,Psychology Law & Social Policy,Insane: America?s Criminal Treatment of Mental Illness,'0465094198'
ATM OCN,310,Dynamics-Atmosphere&Ocean I,Mid-latitude Atmospheric Dynamics: A First Course,'0470864656'
MATH,375,Multi-Var Calc & Linear Alg,"Calculus, Vol II",'0471000078'
CBE,562,Spec Topics in ChE,Electrochemical Methods: Fundamentals and Applications,'0471043729'
PHYSICS,321,Elect Circuits & Electronic,Introduction to Modern Electronics,'0471058408'
G L E,627,Hydrogeology,Fundamentals of Ground Water,'0471137855'
SLAVIC,321,Fourth Year Russian I,The Golden Age,'0471309400'
E M A,540,Exp Vib & Dynamic Sys Anal,Mechanical and structural vibrations: theory and applications,'0471370843'
E C E,548,Integrated Circuit Design,Device electronics for integrated circuits,'0471593982'
N E,305,Fundamentals-Nuclear Engr,INTRODUCTORY NUCLEAR PHYSICS,'047180553X'
ASTRON,700,Basic Astrophysics I,Radiative Processes in Astrophysics,'0471827592'
PHYSICS,735,Particle Physics,Quarks and Leptons,'0471887412'
A A E,723,Professional Development Sem,Passion and Craft: Economists at Work,'0472066854'
BOTANY,402,Dendrology,Michigan Trees: A guide to the trees of the Great Lakes region,'0472089218'
ENGL,731,Adv Theatre Hist-500bc-1700,A Sourcebook in Theatrical History,'0486205150'
MUSIC,623,Form and Analysis,The Marriage of Figaro (Complete Score),'0486237516'
COMP LIT,203,Intro Cross-Cultrl Lit Form,Frankenstein,'0486282112'
COMP LIT,203,Intro Cross-Cultrl Lit Form,The Time Machine,'0486284727'
MUSIC,414,Survey Music-Classic Era,Symphony No. 3,'0486297969'
MUSIC,414,Survey Music-Classic Era,Symphonies Nos 40 & 41,'0486298493'
STAT,371,Intro Applied Stats-Life Sci,An Introduction to Statistical Methods and Data Analysis: 6th (sixth) Edition,'0495017582'
ART HIST,300,Art&Archaeology-Ancient Greece,Greek Art and Archaeology,'0500052093'
GEOG,510,Economic Geography,"Golden Gulag: Prisons, Surplus, Crisis, and Opposition in Globalizing California",'0520242017'
ANTHRO,300,Cult Anthro:Thry&Ethnogrphy,Reflections on Fieldwork in Morocco: Thirtieth Anniversary Edition.,'0520251776'
ASIAN,630,Proseminar: Cultures of Asia,"Aghor Medicine: Pollution, Death, and Healing in Northern India",'0520252195'
RELIG ST,600,Religion-Critical Perspective,Mama Lola: A Vodou Priestess in Brooklyn,'0520268105'
STS,201,Where Science Meets Society,The Golem at Large: What You Should Know about Technology,'0521012708'
CLASSICS,834,Roman Political Thought,Seneca: Moral and Political Essays,'0521348188'
CLASSICS,834,Roman Political Thought,Cicero: On Duties,'0521348358'
PHILOS,432,History-Modern Philosophy,Descartes: Meditations on First Philosophy: With Selections from the Objections and Replies,'0521558182'
ART HIST,300,Art&Archaeology-Ancient Greece,The Archaeology of Ancient Greece,'0521627338'
B M I,576,Introduction to Bioinformatics,Biological sequence analysis probabilistic models of proteins and nucleic acids,'0521629713'
PHILOS,220,Philosophy and the Sciences,Evidence and Evolution: The Logic Behind the Science,'0521692741'
SOC,441,Criminology,Darfur and the Crime of Genocide,'0521731356'
POLI SCI,414,Supreme Ct as Pol Instit,Crafting Law on the Supreme Court: The Collegial Game,'0521783941'
CNSR SCI,930,Seminar in Fam Economic Policy,The Economic Organization of the Household,'0521801419'
PHYSICS,406,Special Topics in Physics,General Relativity: An Introduction for Physicists,'0521829518'
ASIAN,236,Asia Enchanted,Ghosts of War in Vietnam,'0521880610'
E M A,542,Advanced Dynamics,Engineering Dynamics,'0521883032'
AFROAMER,303,"Blacks, Film, and Society",I Am Not Your Negro,'0525434690'
ENGL,248,Women in Ethnic Amer Lit,"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",'0525434801'
ART,448,Special Topics,How to Be an Anti-Racist,'0525509283'
ENGL,140,Comm B Topics in English Lit,My Year of Rest and Relaxation,'0525522131'
GEN&WS,343,Queer Bodies,The Stars and the Blackness Between Them,'0525555498'
PHYSICS,311,Mechanics,Classical Dynamics of Particles and Systems,'0534408966'
CHEM,115,Chemical Principles I,"Principles of Modern Chemistry, 6th Edition",'0534493661'
E M A,547,Engineering Analysis I,Advanced Engineering Mathematics,'0534552080'
ENGL,176,Topics in Literature and Film,Fun Home,'0544709047'
ENGL,175,Lit & the Other Disciplines,a scanner darkly,'0547572174'
INTER-LS,106,1st-Yr Seminar: Social Sci,Darkness at Noon,'0553265954'
THEATRE,352,Auditioning for Stage & Screen,AUDITION,'0553272950'
ASIAN,300,Topics in Asian Studies,Yoga: Discipline of Freedom. The Yoga Sutra attributed to Patanjali,'0553374281'
ILS,254,Literature and Science,Arcadia,'0571169341'
A A E,306,The Real Estate Process,The Birth of a Building: From Conception to Delivery,'0578553651'
ENGL,577,Postcolonial Theatre,The Dilemma of a Ghost,'0582276020'
KINES,508,Workshop in Kinesiology,What the Best College Teachers Do,'0674013255'
HISTORY,201,The Historian's Craft,When the King Took Flight,'0674016424'
RELIG ST,400,Topics in Relig St-Humanities,Rebecca's Revival: Creating Black Christianity in the Atlantic World,'0674022572'
AFROAMER,712,Educ and Civil Rights Movement,In Struggle: SNCC and the Black Awakening of the 1960s,'0674447255'
GREEK,103,Elementary Ancient Greek,A New Introduction to Greek: Third Edition Revised and Enlarged,'0674616006'
ILS,205,"W Cult:Pol,Econ&Soc Thght I",Frogs. Assemblywomen. Wealth,'0674995961'
ENGL,140,Comm B Topics in English Lit,The Plague,'0679720219'
ENGL,245,Seminar in the Major,The Woman Warrior: Memoirs of a Girlhood Among Ghosts,'0679721886'
ENGL,223,V Nabokov: Russ&Amer Writng,Pnin,'0679723412'
ENGL,223,V Nabokov: Russ&Amer Writng,Pale FIre,'0679723420'
ENGL,223,V Nabokov: Russ&Amer Writng,Despair,'0679723439'
ENGL,223,V Nabokov: Russ&Amer Writng,Invitation to a Beheading,'0679725318'
ENGL,223,V Nabokov: Russ&Amer Writng,The Defense,'0679727221'
ENGL,223,V Nabokov: Russ&Amer Writng,The annotated Lolita,'0679727299'
C&E SOC,475,Classical Soc Theory,Democracy in America. Vol. 1,'0679728252'
C&E SOC,475,Classical Soc Theory,Democracy in America. Vol. 2,'0679728260'
JEWISH,430,Intmed Topics in Jewish Lit,Maus vo. 2,'0679729771'
LITTRANS,222,Dostoevsky in Translation,DEMONS,'0679734511'
HISTORY,120,Europe&Mod World 1815-On,THe Kidnapping of Edgardo Mortara,'0679768173'
C&E SOC,475,Classical Soc Theory,Suicide: A Study in Sociology,'0684836327'
PHILOS,432,History-Modern Philosophy,A Spinoza Reader: The Ethics and Other Works,'0691000670'
LITTRANS,337,In Transl:19C Scand Fiction,The Seducer's Diary,'0691017379'
BOTANY,265,Rainforests and Coral Reefs,The New Neotropical Companion,'0691115257'
POLI SCI,461,"Philos, Poli, & Econ Seminar",A Turn to Empire: The Rise of Imperial Liberalism in Britain and France,'0691115583'
CNSR SCI,930,Seminar in Fam Economic Policy,Mostly Harmless Econometrics: An Empiricist's Companion,'0691120358'
ASTRON,320,The Interstellar Medium,Physics of the interstellar and intergalactic medium,'0691122148'
HIST SCI,201,Origins-Scientific Thought,Revolutionizing the sciences,'0691142068'
A A E,636,Applied Econometric Anal I,Mastering 'Metrics: The Path from Cause to Effect,'0691152845'
ED POL,648,Sociology of Education,Privilege: The Making of an Adolescent Elite at St. Paul's School,'0691156239'
BOTANY,460,General Ecology,How to Do Ecology,'0691161763'
A A E,246,Climate Change Econ & Policy,Climate Shock,'0691171327'
AMER IND,172,Literatures of Native America,The Mourning Road to Thanksgiving,'0692213368'
ART HIST,415,Topics in Medieval Art,History of Illuminated Manuscripts,'0714834521'
PHM SCI,432,Pharmaceutical Biochemistry,Biochemistry,'0716720094'
RP & SE,660,Special Topics,The Sport Psychology Handbook,'0736049045'
KINES,371,Meth & Prac Dance & Gymnastics,Teaching Movement Education: Foundations for Active Lifestyles,'0736074562'
GEN&WS,103,Gender Women Bodies and Health,S.E.X.: The All-You-Need-To Know Sexuality Guide to Get You Through Your Teens an,'0738218847'
LSC,880,Topics in Mass Communication,Bourdieu and the Journalistic Field,'0745633870'
L I S,301,Information Literacies Online,YouTube: Online Video and Participatory Culture,'0745660193'
PHYSICS,311,Mechanics,Mechanics: Volume 1 (Course of Theoretical Physics S),'0750628960'
ENGL,175,Lit & the Other Disciplines,little brother,'0765323117'
HISTORY,105,Intro-History of Africa,Binti,'0765385252'
PSYCH,401,Psychology Law & Social Policy,Unfair: The New Science of Criminal Injustice,'0770437788'
FRENCH,271,Intro to Literary Analysis,Les Belles-soeurs,'0776100254'
AFRICAN,371,First Semester Yoruba,Yoruba Modern Practical Dictionary,'0781809789'
ELPA,999,Independent Reading,Good Practice In Student Affairs,'0787944572'
E C E,542,Intro to Microelectromech Sys,Microsystem Design,'0792372468'
CLASSICS,373,Topics in Classical Culture,Texts of Terror: Literary-Feminist Readings of Biblical Narratives,'0800615379'
CLASSICS,834,Roman Political Thought,Cicero: On the Republic and On the Laws,'080147891X'
ART HIST,415,Topics in Medieval Art,Introduction to Manuscript Studies,'0801487080'
ILS,205,"W Cult:Pol,Econ&Soc Thght I",FOUR TEXTS ON SOCRATES,'0801492823'
POLI SCI,461,"Philos, Poli, & Econ Seminar",Writings on Empire and Slavery,'0801865093'
AFROAMER,338,The Black Arts Movement,Jeffrey Ogbar: Black Power: Radical Politics and African American Identity,'0801882753'
GERMAN,245,Topics-Dutch Life & Culture,On the Water,'0802138950'
OCC THER,612,Prof Skills III: Org & Mgmt-OT,Leading & Managing Occupational Therapy Services: An Evidenced Approach,'0803643659'
OCC THER,673,Sci Inq-OT III: Data Coll&Anal,Foundations of Clinical Research: Applications to Practice,'0803646577'
KINES,123,Living well: Lifestyle balance,Time management from the inside out,'0805064699'
CS&D,854,Electroacous & Instr Calibratn,Instrumentation: An Introduction for Students in the Speech and Hearing Sciences,'0805846816'
LEGAL ST,645,Intellectual Freedom,"The Dismissal of Miss Ruth Brown: Civil Rights, Censorship, and the American Library",'0806133147'
ENGL,245,Seminar in the Major,The Female Man,'0807062995'
ED POL,200,"Race,Ethnicty&Inequal-Am Ed",We Want to Do More Than Survive,'0807069159'
LACIS,440,Topics in LACIS,Silencing the Past. Power and the Production of History,'0807080535'
AFROAMER,227,Masterpieces of Afro Amer Lit,Kindred,'0807083690'
SOC,924,Seminar-Political Sociology,From George Wallace to Newt Gingrich,'0807121185'
CURRIC,663,Lrng Envr-Initial Ed Progm,Young Investigators: The project approach in the early years,'0807756903'
CURRIC,312,ESL/Bilingual Issues,"Educating Emergent Bilinguals: Policies, Programs, and Practices for English Learners",'080775885X'
AFROAMER,712,Educ and Civil Rights Movement,"The NAACP's Legal Strategy Against Segregated Education, 1925-1950",'0807817236'
AFROAMER,712,Educ and Civil Rights Movement,"Along Freedom Road: Hyde County, North Carolina, and the Fate of Black Schools in the South",'0807844373'
FRENCH,804,Interdis W Europ Studies Sm,Black Marxism: The Making of the Black Radical Tradition,'0807848298'
RELIG ST,600,Religion-Critical Perspective,We Have a Religion: The 1920s Pueblo Indian Dance Controversy and American Religious Freedom,'0807859354'
ENVIR ST,460,Amer Environmental History,"Changes in the Land: Indians, Colonists, and the Ecology of New England",'0809016346'
ENGL,175,Lit & the Other Disciplines,nat turner,'0810972271'
LITTRANS,254,Lit Tran: Modern Italy,Conversations in Sicily,'0811214559'
COMP LIT,203,Intro Cross-Cultrl Lit Form,Labyrinths,'0811216993'
FOLKLORE,342,In Trans:Mythlgy-Scandnavia,Poems of the Elder Edda,'0812282205'
SPANISH,326,Survey of Spanish American Lit,Autobiografia de un esclavo,'0814325386'
ENGL,245,Seminar in the Major,Out of the Closets: Voices of Gay LIberation,'0814741835'
COMP LIT,350,Problms in Comp Lit & Cultures,Granada,'0815607652'
BOTANY,402,Dendrology,Trees and Shrubs of Minnesota (The Complete Guide to Species Identification) 1st Edition,'0816640653'
ED POL,150,Education and Public Policy,The Sioux Chef?s Indigenous Kitchen,'0816699798'
CURRIC,704,Curriculum Planning,Understanding curriculum,'0820426016'
HISTORY,105,Intro-History of Africa,Boko Haram,'0821423517'
MATH,421,Theory of Single Variable Calc,Real Analysis and Applications:  Including Fourier Series and the Calculus of Variations,'0821838415'
GEOG,510,Economic Geography,"Markets of Sorrow, Labors of Faith: New Orleans in the Wake of Katrina",'0822354497'
GEN&WS,720,Spec Topics-Gender&Wmn Studies,In the Wake: On Blackness and Being,'0822362945'
SPANISH,802,Smr-Spanish American Lit,Rockin' Las Americas,'0822942267'
ASIALANG,123,First Semester Filipino,Conversational Tagalog,'0824809440'
THEATRE,351,Fund-Asian Stage Discipline,Kabuki Five Classic Plays,'0824814266'
ASIAN,244,SE Asia:Vietnam to Philipns,Emergence of Modern Southeast Asia,'0824828909'
NURSING,704,Ldrshp in Adv Practc Nursing I,FOR CNS STUDENTS --Foundations of Clinical Nurse Specialist Practice,'0826129668'
RP & SE,840,Clin Rehab Cnslg-Group Cnslg,Counseling Theories and Techniques for Rehabilitation and Mental Health Professionals,'0826198678'
JEWISH,231,Elem Topics in Jewish History,The Zionist Idea,'0827606222'
AFROAMER,227,Masterpieces of Afro Amer Lit,Cane,'0871402106'
SOC,496,Topics in Sociology,"Sex and the Constitution: Sex, Religion, and Law from America's Origins to the Twenty-First Century",'0871404699'
PUB AFFR,200,Contemp Public Policy Issues,Administrative Burden: Policymaking by Other Means,'087154444X'
CLASSICS,834,Roman Political Thought,Augustine: Political Writings,'0872202100'
PHILOS,432,History-Modern Philosophy,An Enquiry concerning Human Understanding,'0872202291'
ILS,205,"W Cult:Pol,Econ&Soc Thght I",THE ESSENTIAL ILIAD,'0872205428'
CLASSICS,834,Roman Political Thought,Lucretius: On the Nature of Things,'0872205878'
PHILOS,440,Existentialism,Existentialism: Basic Writings,'0872205959'
CLASSICS,834,Roman Political Thought,"The History of Rome, I-V",'0872207234'
CLASSICS,834,Roman Political Thought,"Tacitus: Agricola, Dialogue, Germania",'0872208117'
LATIN,103,Elementary Latin,Classical Latin: An Introductory Course,'0872208516'
FRENCH,631,Lit Francaise-XVIIIe Siecle,"Ourika, The Original French Text",'0873527798'
SPANISH,326,Survey of Spanish American Lit,An Anthology of Spanish American Modernismo,'0873529391'
ASIALANG,333,Fifth Semester Hindi,Intermediate Hindi Reader,'087725351X'
ENGL,577,Postcolonial Theatre,The Oriki of a Grasshopper and other Plays,'0882581813'
E C E,724,Waves&Instabilities-Plasmas,Waves in Plasmas,'0883188597'
ED PSYCH,542,Biological Basis of Behavior,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",'0890425558'
N E,555,Nuclear Reactor Dynamics,Dynamics of Nuclear Reactors,'0894484536'
ENGL,245,Seminar in the Major,Zami: A New Spelling of My Name,'0895941228'
COMP SCI,714,Methods of Computatnl Math I,Numerical Linear Algebra,'0898713617'
COMP SCI,714,Methods of Computatnl Math I,Spectral Methods in MATLAB,'0898719593'
MATH,421,Theory of Single Variable Calc,"Calculus, 4th Edition",'0914098918'
CLASSICS,834,Roman Political Thought,Epictetus: The Handbook,'0915145693'
CLASSICS,834,Roman Political Thought,Marcus Aurelius: Meditations,'0915145790'
FRENCH,204,Fourth Semester French,English Grammar for Students of French,'0934034184'
ITALIAN,102,Second Semester Italian,English Grammar for Students of Italian,'0934034206'
LITTRANS,254,Lit Tran: Modern Italy,Woman at War,'0934977127'
LITTRANS,254,Lit Tran: Modern Italy,Man of Smoke,'0934977267'
ED PSYCH,948,Res and Meas in School Psych,Standards for Educational and Psychological Testing,'0935302352'
ASTRON,700,Basic Astrophysics I,The Physics of Astrophysics I: Radiation,'0935702644'
GERMAN,755,Old Germanic Languages,Heliand: Text and Commentary,'0937058645'
COMP LIT,350,Problms in Comp Lit & Cultures,Sitt Marie Rose,'094299633X'
CURRIC,663,Lrng Envr-Initial Ed Progm,Off to a good start : launching the school year,'0961863668'
I SY E,349,Introduction-Human Factors,Set Phasers on Stun,'0963617885'
DY SCI,434,Reproductive Physiology,Pathways to Pregnancy and Parturition - third revised edition,'0965764834'
OTM,351,Principles & Tech-Qual Mgmt,Getting the Right Things Done - A Leaders Guide to Planning and Execution,'0976315262'
KINES,417,Adv Clinical Assessment in AT,Athletic Trainers Guide to Differential Diagnosis: A Visual Learning Approach.,'1016171105'
ECON,705,Econometrics II,Impact Evaluation: Treatment Effects and Causal Analysis,'1107042461'
ENGL,516,English Grammar in Use,"Register, Genre, and Style (2nd edition)",'1108444083'
MATH,733,Theory of Probability I,Probability: Theory and Examples,'1108473687'
FRENCH,227,Exploring French:Intermed Crse,Autour de la Litterature,'1111354189'
A A E,636,Applied Econometric Anal I,Introductory Econometrics: A Modern Approach,'1111531048'
COM ARTS,609,Special Topics in Production,HTML & CSS: Design and Build Websites,'1118008189'
ART,465,Packaging Design,the packaging designer's book of patterns,'111813415X'
M H R,632,Intro to Arts Entrepreneurship,Business Model You: A One-Page Method For Reinventing Your Career,'1118156315'
ELPA,878,The American Community College,The American Community College,'1118449819'
ENVIR ST,112,Environment & Social Sciences,Environment and Society: A Critical Introduction,'1118451562'
ART,448,Special Topics,signage and wayfinding design,'1118692993'
CSCS,345,Evaluation and Planning,Strategic Planning for Nonprofit Organizations: A Practical Guide for Dynamic Times,'1118768140'
CURRIC,317,Dimensions of Literacy,Race Talk and the Conspiracy of Silence,'1119241987'
HISTORY,105,Intro-History of Africa,A History of Modern Africa: 1800 to the Present,'1119381924'
M S & E,351,Struct&Property Rels-Solids,Fundamentals of Materials Science and Engineering: An Integrated Approach,'1119470560'
BIOCHEM,510,Nutr Biochm & Mtblsm,Advanced Nutrition & Human Metabolism,'1133104053'
SOC,421,Processes-Deviant Behavior,Sociology of Deviant Behavior,'1133594158'
COM ARTS,155,Intro-Digital Media Production,"Making Media, Fourth Edition: Foundations of Sound and Image Production",'1138240397'
HISTORY,142,History-S Asia to Present,Modern South Asia,'113824368X'
CURRIC,317,Dimensions of Literacy,Literacy Instruction: A Guidebook to Theory and Practice,'1138311898'
ED PSYCH,741,"Socl, Emotionl&Behav Assessmnt","Behavioral, Social, and Emotional Assessment of Children and Adolescents 5th Edition",'1138814393'
LAW,771,Select Topics-Estate Planning,See special instructions below.,'1221221212'
I SY E,320,Simulatn&Probablstc Modelng,Introduction to Operations Research (10th Edition),'1259162982'
LSC,270,Marketing Comm for Sciences,Advertising and Promotion: An Integrated Marketing Communications Perspective,'1259548147'
REAL EST,410,Real Estate Finance,Real Estate Finance & Investments,'1259919684'
FRENCH,227,Exploring French:Intermed Crse,The Ultimate French Review and Practice,'1260452417'
ACCT I S,340,Accounting Systems,Accounting Information Systems selected chapters custom published text,'1269769871'
HISTORY,201,The Historian's Craft,The Night Battles,'1280684941'
HISTORY,201,The Historian's Craft,The Sorcerer's Tale,'1281975702'
JOURN,350,Sports Mrkting Communications,Sports Marketing: The View of Industry Experts,'1284034097'
NURSING,704,Ldrshp in Adv Practc Nursing I,FOR NP STUDENTS-- Role Development for the Nurse Practitioner,'1284130134'
CS&D,201,Speech Science,"Anatomy & Physiology for Speech, Language, and Hearing",'1285198247'
PHYSICS,531,Intro to Quantum Mechanics,Introduction to Quantum Mechanics,'1292037148'
M E,471,Gas Turbine and Jet Propulsion,Gas Turbine Theory,'1292093099'
SOC,421,Processes-Deviant Behavior,"Constructions of Deviance: Social Power, Context, and Interaction",'1305093542'
RP & SE,330,Behav Anal:Person-Disabilty,Behavior Modification: Principles and Procedures 6th Edition,'1305109392'
STAT,312,"Intro Math Stat (Theo,Meth) II",Probability and Statistics for Engineering and the Sciences,'1305251806'
INTL BUS,403,Global Issues in Management,Multinational Management,'1305576780'
NUTR SCI,710,Human Energy Metabolism,Advanced Nutrition and Human Metabolism,'1305627857'
NUTR SCI,377,Cultural Aspects Food and Nutr,Food And Culture,'1305628055'
E C E,427,Electric Power Systems,Power System Analysis and Design,'1305632133'
ART HIST,201,History of Western Art I,Gardner's Art Through the Ages: The Western Perspective,'1305633946'
RP & SE,840,Clin Rehab Cnslg-Group Cnslg,Groups: Process and Practice 10th Edition,'1305865707'
ED PSYCH,331,Hum Devel Chldhood-Adolescn,"Child and Adolescent Development in Your Classroom, Topical Approach",'1305964241'
LAW,918,Problems: Intl Law Seminar,The Principles and Practice of International Commercial Arbitration,'1316606287'
LSC,880,Topics in Mass Communication,Losing Pravda: Ethics and The Press in Post-Truth Russia,'1316629775'
SLAVIC,321,Fourth Year Russian I,Russian: from intermediate to advanced,'1317661540'
C&E SOC,360,Stats for Sociologists I,"Basic Practice of Statistics, EIGHTH EDITION",'1319042570'
ENGL,175,Lit & the Other Disciplines,sovereignty and goodness of god,'1319048811'
ECON,111,Prin/Econ-Accelratd Treatmt,Economics,'1319066607'
HISTORY,201,The Historian's Craft,A Pocket Guide to Writing in History,'1319113028'
CURRIC,663,Lrng Envr-Initial Ed Progm,Thinking critically about environments for young children: bridging  theory and practice,'132245129X'
ECON,310,Stats:Measrmnt in Economics,Statistics for Management and Economics + XLSTAT Bind-in,'1337093459'
CURRIC,503,Literacy Across the Curriculum,Cultivating Genius: An Equity Framework for Culturally and Historically Responsive Literacy,'1338594893'
ENGL,248,Women in Ethnic Amer Lit,Beloved,'1400033411'
ENGL,248,Women in Ethnic Amer Lit,"Brother, I'm Dying",'1400034302'
E C E,717,Linear Systems,Linear systems theory,'140089008X'
STS,201,Where Science Meets Society,An Introduction to Science and Technology Studies,'1405187654'
SOC,441,Criminology,Crime: Readings,'141294967X'
GERMAN,236,Bascom Course,Song for the Butcher?s Daughter,'1416538712'
COUN PSY,237,Mental Hlth &Diverse Community,Crazy like us,'1416587098'
HIST SCI,350,Spec Topics-Hist of Science,Competing with the Soviets,'1421407698'
COM ARTS,612,Topics-Communicatn Science,Social Networks and Popular Understanding of Science and Health: Sharing Disparities,'1421413248'
JOURN,620,International Communication,"The Future of 24-Hour News: New Directions, New Challenges",'1433130467'
ED PSYCH,506,Contemp Issues in Ed Psych,Forgiveness Is a Choice,'1433831309'
ED PSYCH,948,Res and Meas in School Psych,Publication manual of the American Psychological Association,'143383216X'
NURSING,726,Foundations APN Clin Pract I,Psychiatric interviewing: The art of understanding,'1437716989'
ENGL,245,Seminar in the Major,This Bridge Called My Back: Writings by Radical Women of Color,'1438454384'
ASIAN AM,240,Topics-Asian Amer Studies,TACO USA  How Mexican Food Conquered America,'1439148627'
N E,411,Nuclear Reactor Engineering,Nuclear Systems I,'1439808872'
KINES,373,Meth & Prac of Sport,Teaching Sport Concepts and Skills,'1450411223'
C&E SOC,361,Stats for Sociologists II,Applied Regression Analysis and Generalized Linear Models,'1452205663'
LAW,873,Immigration Law,Understanding Immigration Law and Practice,'1454850388'
LAW,801,Evidence,"An Analytical Approach to Evidence:  Text, Problems & Cases",'145486298X'
HISTORY,105,Intro-History of Africa,Apartheid in South Africa: A Brief History with Documents,'1457665549'
HISTORY,120,Europe&Mod World 1815-On,"The Making of the West, Volume 2: Since 1500",'1457681536'
L I S,603,Research and Assessment,"Program Evaluation Theory and Practice: A Comprehensive Guide. New York, NY: The Guilford Press.",'1462503152'
ED PSYCH,771,Test Construction,Measurement Theory and Applications for the Social Sciences,'1462532136'
GERMAN,325,Topics in Dutch Literature,Anne Frank: The Collected Works,'1472964918'
ART,366,Stage Lighting I,YOU FOR ME FOR YOU,'1474276741'
ANTHRO,860,Hist-Anthropological Theory,Rules of Sociological Method,'1476749728'
ANTHRO,860,Hist-Anthropological Theory,The Division of Labor in Society,'1476749736'
SPANISH,361,Spanish Civilization,La vida del Lazarillo de Tormes. Annotated Critical Edition by Chad M. Gasta,'1478605715'
CURRIC,704,Curriculum Planning,"Curriculum planning: Integrating multiculturalism, constructivism, and education reform",'1478622008'
ED POL,200,"Race,Ethnicty&Inequal-Am Ed",White Kids,'1479803685'
CURRIC,368,The Teaching of Reading,Look Both Ways,'148143828X'
AFRICAN,406,Topics in African Literature,Lagoon,'1481440888'
PATH-BIO,510,Veterinary Immunology,Veterinary Immunology,'1482224623'
CURRIC,368,The Teaching of Reading,Culturally responsive teaching and the brain: Promoting authentic engagement and rigor...,'1483308014'
KINES,555,Sports Sci & Athlete Monitor,Monitoring Training and Performance in Athletes,'1492535206'
PATH-BIO,510,Veterinary Immunology,Case Studies in Veterinary Immunology,'1498796036'
ENGL,458,Major American Writer(s),The Sun Also Rises,'1501121960'
SCAND ST,427,Contemporary Scand Lit,Everything I Don't Remember,'1501138030'
RELIG ST,305,"Women, Gender and Religion",Unbecoming: A Memoir of Disobedience,'1501162543'
INTER-LS,106,1st-Yr Seminar: Social Sci,Everyday Law in Russia,'1501705245'
L I S,301,Information Literacies Online,The Media Education Manifesto,'1509535888'
OCC THER,673,Sci Inq-OT III: Data Coll&Anal,Discovering Statistics Using IBM SPSS Statistics: North American Edition,'1526436566'
SCAND ST,101,First Semester Norwegian,"Sett i gang, 2nd Edition",'1530276004'
LAW,731,Constitutional Law I,Constitutional Law: A Context and Practice Casebook,'1531004547'
LAW,723,Legal Research and Writing,A Lawyer Writes: A Practical Guide to Legal Analysis,'1531008763'
SCAND ST,419,Scandinavian Children's Lit,Adventures with Waffles,'1536203661'
SOC WORK,400,Field Pract/Integrat Smr I,So you want to talk about race,'1538475278'
I SY E,349,Introduction-Human Factors,Designing for People,'1539808009'
AFROAMER,712,Educ and Civil Rights Movement,A Grl Stands at the Door: The Generation of Young Women Who Desegregated America's Schools,'1541697332'
JOURN,335,Principles/Practices-Reporting,Associated Press Stylebook,'1541699890'
SCAND ST,427,Contemporary Scand Lit,A Drop of Midnight,'1542016703'
LAW,849,Pre-Trial Advocacy,Pretrial,'1543805027'
ED PSYCH,763,Regression Models in Education,An R Companion to Applied Regression,'1544336470'
M H R,422,Entrepreneurial Management,***See special instructions***,'1544354622'
ENGL,245,Seminar in the Major,Word is Out: A Queer Film Classic,'1551524201'
FOLKLORE,342,In Trans:Mythlgy-Scandnavia,Theorizing about Myth,'1558491910'
ILS,371,Interdis in Arts & Humanities,The Assassination Of Julius Caesar: A People's History Of Ancient Rome (New Press People's History),'1565849426'
CS&D,202,Normal Aspects of Hearing,Introduction to Sound: Acoustics for the Hearing and Speech Sciences,'1565939794'
COMP LIT,350,Problms in Comp Lit & Cultures,The Secret Life of Saeed: The Pessoptimist,'1566564158'
POLI SCI,414,Supreme Ct as Pol Instit,The Choices Justices Make,'1568022263'
ART,448,Special Topics,the wayfinding handbook,'1568987692'
ART,458,Branding Design,Graphic Design Thinking: Beyond Brainstorming,'1568989792'
FRENCH,804,Interdis W Europ Studies Sm,"Caliban and the Witch: Women, the Body, and Primitive Accumulation",'1570270597'
CURRIC,368,The Teaching of Reading,Opening minds: Using language to change lives,'1571108165'
PSYCH,526,Criminal Mind:Forensics/Scienc,Without Conscience: The Disturbing World of the Psychopaths Among Us,'1572304510'
PHYSICS,415,Thermal Physics,Fundamentals of Statistical and Thermal Physics,'1577666127'
NURSING,510,Culturally Congruent Practice,Difference Matters: Communicating Social Identity,'1577666739'
HISTORY,105,Intro-History of Africa,Houseboy,'1577669886'
RP & SE,842,Legal Foundations of Spec Ed,Navigating special education law and policy.,'1578617820'
ED POL,200,"Race,Ethnicty&Inequal-Am Ed",So You Want to Talk About Race,'1580056776'
